GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Loyalty Points Quote Service,com.dvt.loyalty.util,Retry,0,36,0,4,0,8,0,4,0,2
Loyalty Points Quote Service,com.dvt.loyalty.util,Time,0,22,0,4,0,4,0,3,0,1
Loyalty Points Quote Service,com.dvt.loyalty.client,FxQuoteResponse,0,9,0,0,0,1,0,1,0,1
Loyalty Points Quote Service,com.dvt.loyalty.client,FxClient,0,82,1,5,0,21,1,5,0,3
Loyalty Points Quote Service,com.dvt.loyalty.client,PromoResponse,0,9,0,0,0,1,0,1,0,1
Loyalty Points Quote Service,com.dvt.loyalty.client,PromoClient,0,73,0,4,0,19,0,5,0,3
Loyalty Points Quote Service,com.dvt.loyalty.client,UpstreamException,0,16,0,0,0,6,0,3,0,3
Loyalty Points Quote Service,com.dvt.loyalty.api,SupportedCurrencies,0,7,0,0,0,1,0,1,0,1
Loyalty Points Quote Service,com.dvt.loyalty.api,CabinClass,0,27,0,0,0,5,0,1,0,1
Loyalty Points Quote Service,com.dvt.loyalty.api,CustomerTier,0,42,0,0,0,9,0,3,0,3
Loyalty Points Quote Service,com.dvt.loyalty.api,ErrorResponse,0,19,0,0,0,2,0,2,0,2
Loyalty Points Quote Service,com.dvt.loyalty.api,PointsQuoteRequest,0,18,0,0,0,1,0,1,0,1
Loyalty Points Quote Service,com.dvt.loyalty,PointsQuoteResponse,0,21,0,0,0,1,0,1,0,1
Loyalty Points Quote Service,com.dvt.loyalty,Main,21,0,0,0,8,0,3,0,3,0
Loyalty Points Quote Service,com.dvt.loyalty,QuoteVerticle,47,216,0,8,12,51,3,11,3,7
Loyalty Points Quote Service,com.dvt.loyalty.service,QuoteService,26,247,10,32,8,55,10,22,0,11
Loyalty Points Quote Service,com.dvt.loyalty.service,ValidationException,0,11,0,0,0,4,0,2,0,2
